epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,218.914,0.85274,0.96782,1.03588,1.04378,0.45108,0.52443,0.45629,0.27778,0.44653,0.51175,0.45998,0.27402,1.20295,1.58232,1.70785,1.25965,0.0002476,0.0002476,0.0002476
78,221.711,0.8682,1.05678,1.04041,1.01192,0.40403,0.58099,0.4486,0.25691,0.40628,0.58803,0.45083,0.26025,1.21401,1.5882,1.72154,1.27035,0.0002377,0.0002377,0.0002377
79,224.472,0.88874,0.98125,1.04645,1.05065,0.38816,0.66187,0.4276,0.23881,0.39035,0.66859,0.43152,0.2468,1.22408,1.58051,1.80901,1.29475,0.0002278,0.0002278,0.0002278
80,227.374,0.83171,1.06594,1.02394,1.02884,0.36872,0.64508,0.43533,0.24646,0.37605,0.65412,0.45883,0.25483,1.2021,1.57733,1.97948,1.27792,0.0002179,0.0002179,0.0002179
81,230.159,0.83692,0.96082,1.0238,1.0406,0.36879,0.69142,0.44245,0.25244,0.37828,0.70477,0.46311,0.26082,1.19272,1.56053,1.88015,1.26813,0.000208,0.000208,0.000208
82,232.937,0.83945,0.93231,0.96732,1.02011,0.38411,0.68933,0.44598,0.2656,0.38916,0.69746,0.47392,0.27035,1.19963,1.51723,1.81126,1.27087,0.0001981,0.0001981,0.0001981
83,235.692,0.85187,1.05408,1.01487,1.02208,0.3799,0.74044,0.46002,0.27504,0.3799,0.74044,0.46997,0.27645,1.21994,1.49757,1.79133,1.28448,0.0001882,0.0001882,0.0001882
84,238.467,0.8237,0.96614,0.97564,1.02215,0.42854,0.62609,0.46811,0.27498,0.43941,0.59891,0.47481,0.27964,1.22967,1.48844,1.73058,1.29132,0.0001783,0.0001783,0.0001783
85,241.238,0.83617,1.02808,0.98564,1.02432,0.48383,0.58902,0.48758,0.2917,0.48813,0.58142,0.49406,0.29887,1.22493,1.51256,1.72623,1.2816,0.0001684,0.0001684,0.0001684
86,244.136,0.89373,0.94985,1.03705,1.03862,0.4888,0.57085,0.48834,0.29431,0.49895,0.58153,0.49432,0.2981,1.21865,1.54029,1.70338,1.27673,0.0001585,0.0001585,0.0001585
87,246.917,0.83899,1.05183,0.98347,1.01365,0.47275,0.56579,0.49211,0.2975,0.48264,0.5769,0.49795,0.30103,1.21516,1.55361,1.68396,1.2762,0.0001486,0.0001486,0.0001486
88,249.731,0.83875,1.01789,0.972,1.0312,0.36504,0.78664,0.4813,0.28651,0.43691,0.57613,0.4842,0.28537,1.21743,1.58516,1.7065,1.28624,0.0001387,0.0001387,0.0001387
89,252.516,0.8206,0.99788,1.01977,1.01975,0.41469,0.58143,0.47426,0.28056,0.4322,0.5763,0.4769,0.27987,1.20861,1.59926,1.67908,1.28153,0.0001288,0.0001288,0.0001288
90,255.418,0.80826,0.97565,0.91643,1.00078,0.34854,0.69062,0.4688,0.2802,0.42641,0.53904,0.47144,0.28235,1.20533,1.61534,1.65881,1.27117,0.0001189,0.0001189,0.0001189
91,258.832,0.87067,1.07136,1.10059,1.04005,0.39913,0.57536,0.47503,0.28641,0.40608,0.56378,0.4813,0.28744,1.1957,1.64467,1.6762,1.26346,0.000109,0.000109,0.000109
92,261.588,0.83377,0.91113,1.03133,1.05099,0.41387,0.59127,0.49026,0.30481,0.42302,0.60669,0.5004,0.30594,1.17455,1.68721,1.66361,1.25506,9.91e-05,9.91e-05,9.91e-05
93,264.367,0.77837,0.90265,0.94573,1.0161,0.43379,0.60221,0.4977,0.30934,0.4434,0.61739,0.51036,0.30269,1.18097,1.69953,1.63566,1.25957,8.92e-05,8.92e-05,8.92e-05
94,267.151,0.79537,0.89514,0.95206,1.00764,0.42314,0.6144,0.49765,0.31136,0.42545,0.62145,0.50039,0.30176,1.20442,1.72096,1.62405,1.27473,7.93e-05,7.93e-05,7.93e-05
95,269.923,0.76464,0.8717,0.9066,0.97754,0.37331,0.72023,0.49168,0.30831,0.37307,0.73128,0.49239,0.29886,1.20757,1.71076,1.61846,1.27934,6.94e-05,6.94e-05,6.94e-05
96,272.707,0.75784,0.88988,0.94903,1.01396,0.37649,0.7163,0.49709,0.31106,0.37692,0.72144,0.49526,0.30137,1.21396,1.67606,1.60968,1.28814,5.95e-05,5.95e-05,5.95e-05
97,275.474,0.74394,0.86064,0.90831,0.98844,0.37917,0.72194,0.48627,0.30231,0.37706,0.71788,0.48866,0.29866,1.20509,1.65708,1.60657,1.28324,4.96e-05,4.96e-05,4.96e-05
98,278.233,0.73463,0.8549,0.90411,0.97411,0.3594,0.70902,0.48069,0.29961,0.38418,0.67658,0.48904,0.296,1.19255,1.64214,1.6178,1.27691,3.97e-05,3.97e-05,3.97e-05
99,280.989,0.75755,0.88758,0.92583,0.98659,0.376,0.65562,0.47692,0.29851,0.38505,0.67014,0.48457,0.2959,1.19186,1.62413,1.63037,1.27349,2.98e-05,2.98e-05,2.98e-05
100,283.912,0.76075,0.85271,0.87529,0.98778,0.3815,0.67325,0.48105,0.29765,0.38897,0.66695,0.49183,0.2981,1.19363,1.62188,1.63977,1.27414,1.99e-05,1.99e-05,1.99e-05
